tauD tauCtauBtauA,CysB Cbl 
pnp rpsOtruBrbfAinfB nusArimPmetY,ArgR 
metY,Fis 
putA,BasR fus pro MarA 
nmpC,MprA OmpR 
ccmH ccmGccmFccmEccmD ccmCccmBccmAnapC napBnapHnapGnapA napDnapF,NarL NarP FlhD 
phr,LexA 
yiaJ,YiaJ 
gadC gadB,FliZ GadW AdiY Fis GadX GadE 
paaZ,PaaX 
hypF hydN,FhlA FlhD 
dadX dadA,Lrp 
dadX dadA,Lrp 
rnpB garKgarRgarLgarP,CdaR 
hupA,Fis 
hupB,Fis 
hupB,Fis 
paaK paaJpaaIpaaHpaaG paaFpaaEpaaDpaaC paaBpaaA,PaaX 
mazF mazErelA,HipA ant HipB 
mazG mazFmazE,MazE MazE Fis 
mazG mazFmazE,MazE MazE Fis 
ilvX ilvG_1ilvAilvDilvE ilvMilvG_2ilvL,Lrp Lrp 
poxB,Cra MarA SoxS 
rnpB,Fis 
adhE,NarL 
pqiB pqiA,SoxS MarA 
hlyE,Fis SlyA 
degP,CpxR 
gadX gadA,AdiY Fis GadW TorR GadX GadE 
amtB glnK,NtrC GadX 
yiaM sgbEsgbUsgbHlyxK yiaOyiaNyiaLyiaK,YiaJ 
recF dnaNdnaA,DnaA 
rtcA rtcB,RtcR 
aroP,Cra TyrR 
nac,Nac NtrC 
phoQ phoP,PhoP 
polA,DnaA 
xylB xylA,AraC XylR 
hmp,NsrR MetR NsrR 
focB hyfRhyfJhyfIhyfH hyfGhyfFhyfEhyfD hyfChyfBhyfA,HyfR FhlA 
paaY paaX,PaaX 
grxA,OxyR 
zraP,ZraR 
zraR zraS,ZraR 
pfkA,Cra 
mlc,Mlc 
ynfK mlc,Mlc 
torR,TorR 
acnA,MarA SoxS Cra 
acnB,Fis Cra 
cdd,NsrR CytR 
yeiL,Lrp YeiL 
phoH,PhoB 
queA,Fis 
